Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Nick Evans,Mets (AAA),25,277,9.40%,18.10%,0.52,0.313,0.375,0.462,0.837,0.149,3.1,0.363,0.4,42,9.8,0.372,131,7595
Edgar Gonzalez,Giants (AAA),33,564,9.00%,12.90%,0.7,0.315,0.378,0.457,0.835,0.143,3.5,0.343,-0.2,87,7.6,0.372,110,2963
Jake Fox,Orioles (AAA),28,299,7.40%,17.40%,0.42,0.275,0.351,0.491,0.842,0.215,2.2,0.3,-0.2,45,10.5,0.372,130,6267
Ivan De Jesus,Dodgers (AAA),24,443,10.20%,15.30%,0.66,0.31,0.389,0.432,0.82,0.121,4.2,0.358,0.3,68,5.9,0.371,109,9886
Erik Kratz,Phillies (AAA),31,409,9.30%,17.60%,0.53,0.288,0.372,0.466,0.838,0.179,2.9,0.322,0.1,61,14.3,0.371,130,4403
Hank Conger,Angels (AAA),23,114,10.50%,15.80%,0.67,0.3,0.375,0.49,0.865,0.19,1,0.325,0,18,1.5,0.371,109,2505
Alfredo Amezaga,Rockies (AAA),33,277,10.50%,13.00%,0.81,0.305,0.385,0.444,0.829,0.138,4.9,0.342,-0.2,43,3.6,0.371,109,1
Erick Almonte,Brewers (AAA),33,276,11.20%,16.70%,0.67,0.303,0.38,0.447,0.827,0.143,3.9,0.352,-0.1,42,3.5,0.371,109,808
Brett Pill,Giants (AAA),26,576,4.30%,9.40%,0.46,0.312,0.341,0.53,0.871,0.218,4,0.305,-1.8,88,7.3,0.371,109,5834
Dave Sappelt,Reds (AAA),24,336,8.90%,11.60%,0.77,0.313,0.377,0.458,0.834,0.145,4.1,0.339,-1.1,50,11.5,0.371,130,6898
Desmond Jennings,Rays (AAA),24,397,11.30%,19.60%,0.58,0.275,0.374,0.456,0.83,0.18,7.3,0.325,2.7,59,13.6,0.371,130,1965
Stefan Gartrell,- - -,27,510,8.60%,23.10%,0.37,0.262,0.338,0.504,0.842,0.242,3,0.298,-0.3,76,17.4,0.37,130,sa326944
Matt Hague,Pirates (AAA),25,595,7.90%,11.40%,0.69,0.31,0.373,0.46,0.833,0.15,3.5,0.336,-0.8,89,20.1,0.37,129,7772
