Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Francisco Jimenez,Indians (A+),22,69.2,9.69,2.97,3.26,0.52,25.60%,7.90%,17.80%,0.257,1.32,0.342,73.20%,3.23,2.86,0.37,sa503600
Trevor May,Phillies (A+),21,144.1,12.1,4.05,2.98,0.5,32.00%,10.70%,21.30%,0.224,1.28,0.334,69.90%,3.8,2.88,0.93,6398
Bryan Paukovits,Royals (A+),24,54.2,7.57,2.8,2.71,0.16,20.10%,7.40%,12.70%,0.249,1.26,0.315,55.20%,3.46,2.88,0.58,sa389310
Kelvin Herrera,Royals (A+),21,14.2,7.36,1.23,6,0.61,22.60%,3.80%,18.90%,0.157,0.68,0.184,100.00%,0.61,2.89,-2.27,6033
Patrick Francescon,Cubs (A+),22,2,9,4.5,2,0,22.20%,11.10%,11.10%,0.25,1.5,0.333,100.00%,0,2.89,-2.89,sa599399
Allen Caldwell,Royals (A+),23,24,8.63,1.5,5.75,0.75,25.80%,4.50%,21.40%,0.177,0.79,0.217,86.40%,1.5,2.9,-1.4,sa455075
Kevin Rhoderick,Cubs (A+),22,14.1,11.93,3.77,3.17,0.63,33.90%,10.70%,23.20%,0.14,0.91,0.2,86.20%,1.26,2.9,-1.64,sa392095
Matt Mcswain,Pirates (A+),25,19,8.05,1.42,5.67,0.47,22.40%,4.00%,18.40%,0.208,0.95,0.259,62.50%,1.89,2.92,-1.02,sa332077
Justin Friend,Phillies (A+),25,29.2,9.1,2.43,3.75,0.3,25.60%,6.80%,18.80%,0.189,0.94,0.253,77.70%,2.12,2.92,-0.79,sa388993
Manauris Baez,Royals (A+),25,19.1,9.31,3.26,2.86,0.47,24.10%,8.40%,15.70%,0.263,1.4,0.346,82.00%,2.33,2.92,-0.59,sa456079
Tyler Tufts,Rangers (A+),24,6.2,12.15,1.35,9,1.35,37.50%,4.20%,33.30%,0.174,0.75,0.231,100.00%,1.35,2.93,-1.58,sa455353
Sergio Espinosa,Rays (A+),25,37,8.03,1.7,4.71,0.24,22.80%,4.80%,17.90%,0.203,0.92,0.263,82.50%,1.95,2.93,-0.98,sa547139
Mike Mcguire,Phillies (A+),25,18,9.5,4,2.38,0,20.40%,8.60%,11.80%,0.337,2,0.438,50.00%,9,2.94,6.06,sa455071
David Carpenter,Angels (A+),23,29,11.17,2.79,4,0.31,30.50%,7.60%,22.90%,0.213,1.1,0.31,85.40%,0.93,2.95,-2.02,9244
Trevor Bauer,Diamondbacks (A+),20,9,17,4,4.25,1,43.60%,10.30%,33.30%,0.2,1.22,0.353,83.30%,3,2.95,0.05,12703
